SequenceId,Date,Timestamp,Ticker,Price
1,20160128,12:00:00 AM,AAL,38.52
2,20160128,12:00:00 AM,AAL,38.52
3,20160128,12:00:00 AM,AAL,38.52
4,20160128,12:00:00 AM,AAL,38.52
5,20160128,12:00:00 AM,AAL,38.52
6,20160128,12:00:00 AM,AAL,38.52
7,20160128,12:00:00 AM,AAL,38.52
8,20160128,12:00:00 AM,AAL,38.52
9,20160128,12:00:00 AM,AAL,38.52
10,20160128,12:00:00 AM,AAL,38.52
11,20160128,12:00:00 AM,AAL,38.51
12,20160128,12:00:00 AM,AAL,38.53
13,20160128,12:00:00 AM,AAL,38.39
14,20160128,12:00:00 AM,AAL,38.39
15,20160128,12:00:00 AM,AAL,38.4
16,20160128,12:00:00 AM,AAL,37.88
17,20160128,12:00:00 AM,AAL,38.1
18,20160128,12:00:00 AM,AAL,38.1
19,20160128,12:00:00 AM,AAL,38.1
20,20160128,12:00:00 AM,AAL,38.1
21,20160128,12:00:00 AM,AAL,38.1
22,20160128,12:00:00 AM,AAL,38.1
23,20160128,12:00:00 AM,AAL,38.1
24,20160128,12:00:00 AM,AAL,38.1
25,20160128,12:00:00 AM,AAL,38.13
26,20160128,12:00:01 AM,AAL,38.53
27,20160128,12:00:01 AM,AAL,38.53
28,20160128,12:00:01 AM,AAL,38.5
29,20160128,12:00:01 AM,AAL,38.5
30,20160128,12:00:01 AM,AAL,38.5
31,20160128,12:00:01 AM,AAL,37.96
32,20160128,12:00:01 AM,AAL,37.96
33,20160128,12:00:01 AM,AAL,37.96
34,20160128,12:00:01 AM,AAL,37.96
35,20160128,12:00:01 AM,AAL,37.96
36,20160128,12:00:01 AM,AAL,37.96
37,20160128,12:00:01 AM,AAL,37.96
38,20160128,12:00:01 AM,AAL,37.96
39,20160128,12:00:01 AM,AAL,37.96
40,20160128,12:00:01 AM,AAL,37.96
41,20160128,12:00:01 AM,AAL,37.96
42,20160128,12:00:01 AM,AAL,37.96
43,20160128,12:00:01 AM,AAL,37.96
44,20160128,12:00:01 AM,AAL,37.96
45,20160128,12:00:01 AM,AAL,38.1
46,20160128,12:00:01 AM,AAL,38.1
47,20160128,12:00:01 AM,AAL,38.1
48,20160128,12:00:02 AM,AAL,40.44
49,20160128,12:00:02 AM,AAL,38.53
50,20160128,12:00:02 AM,AAL,38.53
